1,GPC000035371,GPC000035371,DPD,ATL - 001,Null,Onsite,N/A,device_type,Active,Null,Null,Null,Null
2,BGPC000032734,BGPC000032734,DPD,ATL - 002,Null,Onsite,N/A,Desktop,Active,Null,Null,Null,Null
3,SOPLAGWK035316,SOPLAGWK035316,DPD,ATL - 003,Null,Onsite,N/A,Desktop,Active,Null,Null,Null,Null
4,SOPLAGWK035318,SOPLAGWK035318,DPD,ATL - 004,Null,Onsite,N/A,Desktop,Active,Null,Null,Null,Null
5,SOPLAGWK035722,SOPLAGWK035722,DPD,ATL - 005,Null,Onsite,N/A,Desktop,Active,Null,Null,Null,Null
6,SOPLAGWK035254,SOPLAGWK035254,DPD,ATL - 006,Null,Onsite,N/A,Desktop,Active,Null,Null,Null,Null
7,SOPLAGW60019765,SOPLAGW60019765,DPD,ATL - 007,Null,Onsite,N/A,Desktop,Active,Null,Null,Null,Null
8,SOPLAGW60019764,SOPLAGW60019764,DPD,ATL - 008,Null,Onsite,N/A,Desktop,Active,Null,Null,Null,Null
9,SOPLAGW60098221,SOPLAGW60098221,DPD,ATL - 009,Null,Onsite,N/A,Laptop,Active,Null,Null,Null,Null
10,SOPLAGWK035376,SOPLAGWK035376,SPRINGER ,ATL - 010,Null,Onsite,N/A,Desktop,Active,Null,Null,Null,Null
11,SOPLAGWK022021,SOPLAGWK022021,NATGEN,ATL - 011,Null,Onsite,N/A,Desktop,Active,Null,Null,Null,Null
12,SOPLAGW6009981,SOPLAGW6009981,DPD,ATL - 012,Null,Onsite,N/A,Laptop,Active,Null,Null,Null,Null
13,SOPLAGW60019759,SOPLAGW60019759,DPD,ATL - 013,Null,Onsite,N/A,Desktop,Active,Null,Null,Null,Null
14,SOPLAGWK035735,SOPLAGWK035735,DPD,ATL - 014,Null,Onsite,N/A,Desktop,Active,Null,Null,Null,Null
15,SOPLAGW60019758,SOPLAGW60019758,DPD,ATL - 015,Null,Onsite,N/A,Desktop,Active,Null,Null,Null,Null
16,SOPLAGWK035237,SOPLAGWK035237,DPD,ATL - 016,Null,Onsite,N/A,Desktop,Active,Null,Null,Null,Null
17,SOPLAGWK035324,SOPLAGWK035324,DPD,ATL - 017,Null,Onsite,N/A,Desktop,Active,Null,Null,Null,Null
